"ID ","COMPONENT                                                    ","FIPS   ","REGION                     ","CODE   ","INDUSTRY                   ","    1977","    1978","    1979","    1980","    1981","    1982","    1983","    1984","    1985","    1986","    1987","    1988","    1989","    1990","    1991","    1992","    1993","    1994","    1995","    1996","    1997"
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","0      ","  Total Gross State Product",     26546,     30377,     33535,     36006,     40084,     41478,     45248,     49713,     53688,     56046,     60586,     65435,     67875,     71085,     75293,     80450,     83453,     88581,     94021,     97941,    102533
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","5000   ","Private industries         ",     21965,     25277,     27877,     29567,     33115,     34018,     37223,     41094,     44059,     46143,     50067,     54314,     56281,     58919,     61892,     66158,     69228,     73581,     78725,     82278,     86375
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","10000  "," Agriculture, forest., fish",       626,       822,       926,       674,      1017,       994,       861,      1101,      1094,      1077,      1155,      1349,      1531,      1477,      1734,      1629,      1669,      1845,      1578,      1848,      1885
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","10010  ","  Farms                    ",       541,       710,       801,       542,       866,       840,       673,       894,       863,       830,       908,      1078,      1252,      1152,      1370,      1243,      1247,      1379,      1107,      1368,      1394
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","20070  ","  Agricultural services,...",        86,       113,       124,       132,       152,       154,       188,       207,       231,       247,       247,       271,       279,       325,       364,       386,       422,       466,       471,       480,       491
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","30000  "," Mining                    ",       672,       804,      1021,      1351,      1624,      1754,      1493,      1527,      1451,      1120,      1078,      1024,      1044,      1092,      1046,      1075,      1174,      1239,      1289,      1585,      1753
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","30100  ","  Metal mining             ",         2,         2,         2,         2,         3,         3,         3,         4,         3,         3,         2,         3,         4,         4,         4,         5,         4,         5,         5,         5,         6
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","30120  ","  Coal mining              ",       407,       474,       592,       719,       738,       904,       728,       793,       745,       677,       618,       578,       625,       640,       588,       595,       634,       602,       626,       680,       687
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","30130  ","  Oil & gas                ",       208,       264,       351,       551,       814,       781,       686,       631,       611,       332,       339,       329,       305,       317,       319,       339,       391,       458,       470,       674,       793
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","30140  ","  Nonmetalic minerals      ",        54,        65,        76,        79,        68,        66,        77,        99,        93,       108,       119,       114,       110,       132,       134,       136,       146,       174,       187,       226,       268
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","40000  "," Construction              ",      1463,      1588,      1575,      1588,      1480,      1402,      1516,      1728,      2032,      2289,      2401,      2663,      2730,      3056,      3003,      3060,      3204,      3542,      3792,      4268,      4570
